id,score,review
75642,Positive,Uzun zamandır kullandığım bir ürün sivilce yapmadı cildi  kurutmadan temizliyo
75643,Neutral,Çok iyi  terlemeyi anında kesiyor
75644,Neutral,Ürün gerçekten çok hoş kokuyor ve işe yarıyor paketleme daha özenli olabilirdi
75645,Positive,Yorumlara bakarak aldım. Boyutu çok iyi küçük değil. Titreşim arttırma seçeneği de var. Pahalı fiyatlı olanına hiç gerek yok bayağı iyi.
75646,Neutral,Sıktığım yerde iz bırakıyor iz yaptığı için kullanmıyorum :(
75647,Positive,"Sipariş verdiğimin ertesi gün elimdeydi ve gerçekten memnun kaldım, aynı ürüne yüzlerce lira vermeye hiç gerek yok diye düşünüyorum"
75648,Neutral,Kargo çöm hızlı.. teşekkürler
75649,Negative,kesinlikle almayın boyutu çok küçük ve sifir kalite
75650,Neutral,idare eder çok iyi değil çok kötü değil
75651,Positive,"Çok iyi, kaçıncı kutuyu bitirdiğimizi bile bilmiyorum. Ayrıca güneş yanığı için babam kullandı çok faydasını gördü"
75652,Negative,Keskinliği çok yoktur alırken bastırmanız lazım
75653,Negative,çok kötü asla renk vermeyen aşırı sulu bir yapısı var almayın aldırtmayın
75654,Positive,gayet güzel nemlendiriyor
75655,Positive,çok güzel ve uygun
75656,Neutral,Efsane kapatıcı sadece yüze oturmuyor oluşu sorun yaratabiliyor
75657,Positive,Keske biraz daha büyük olsa çok basarılı
75658,Neutral,Güzel ürün.
75659,Neutral,Güzel geldi
75660,Negative,kokusu güzel tavsiye ederim
75661,Negative,çok fazla fiyat .ürün pek etkili değil.
75662,Positive,"İnanılmaz muhteşem bir ürün tırnaklarım kalınlaştı, artık ne kırılıyor ne soyuluyor."
75663,Neutral,Tüyleri yumuşak içindeki beyaz plastikler sert ama işe yarıyor mu bilemiyorum ben yaradığını hissedemedim.
75664,Negative,Büstiyer bir damla ipleri çok uzun sürekli düşüyr kullanışsız
75665,Neutral,Ürün idare eder gibi çok memnun kalmadım kullandıkça fikrim değişir umarım.
75666,Neutral,Bu süreçte işe yaradı
75667,Positive,süper memnun kaldim teşekürler
75668,Negative,Hiç tavsiye etmiyorum tereyağ gibi donuk
75669,Negative,En büyük pişmanlığım şarjı ikinci kullanımda bitiyor ürün görseldeki renkte gelmedi tavsiye etmem tek olumlu yanı hızlı kargoydu.
75670,Neutral,gayet güzel alıyor ama içinden az çıkıyor
75671,Negative,ruj hemen cikiyor
75672,Negative,Arızalı ürün geldiği için iade etmek zorunda kaldım
75673,Negative,Yırtmacı çok kötü duruyor iade ettim
75674,Negative,Selim cigerci ye uydum aldım yüzüm sivilce döktü inanılmaz kötü
75675,Positive,"mükemmel, geleli birkaç gün oldu her gün yapıyorum. yüzüm yumuşacık oldu, dün gece sürdüm 12 saat geçti yüzüm hala yumuşak. yüzümde çok sayıda sivilce lekesi var ve renk eşitsizliğim var bakalım bunları geçirecek mi"
75676,Neutral,cilt tonuma uymadi çok acik tenliler almasin bence
75677,Positive,Yanıyor diyenleri anlamıyorum şuan sürdüm resmen sadece sıcak oyle cayır cayır yanma olmadı
75678,Neutral,"Ürünü spor yaparken kullanıyorum. Bacaklarima sürdüğüm zaman bir ferahlama ve biber hissediyorum ama eser miktarda. Yine de faydalı olabilir diye düşünüyorum, tabii spor şart"
75679,Positive,Çok güzel hafif kiremit rengi dokusuda çok hoş yapış yapış olmuyor uygun fiyata almamda cabası 🧡
75680,Neutral,Kokusu güzel paketlemede öyle fakat biraz ufak gibi geldi gözüme göründüğünden ben yeni kullanmaya başladım bilemiyorum herkeste aynı mı yada baz denilen bu şekildemi oluyor ama yüZünüzde sürüldüğü zaman tabakamsı bir his oluşturuyor makyajı yapınca parlama olmadı fondetende teşekkürler
75681,Neutral,"Fiyatı uygundu İndirimdeyken aldım, umarım işe yarar 🙏🏻 hediyeniz için ayrıca teşekkür ederim 😊"
75682,Neutral,düzenli olamasada haftada 2 3 kez kullanıyorum fazla beyazlattigini düşünmüyorum ama yüze puruzsuzluk veriyor
75683,Neutral,Fiyatı çok uygun
75684,Positive,Yumuşacık yapıyor memnun kaldım.Uygun fiyata geldi.Ertesi gün ulaştı.hızlı Kargo 👍🏻
75685,Neutral,Ürün kullanırken güzel gibi gelsede uzun sürede cilt bariyerine zarar veriyormuş bir daha tercih etmem
75686,Positive,Ürün gayet güzel ve kokosu hoş ve çekici tavsiye ediyorum kullanmayanlara
75687,Neutral,kokusu biraz tuhaf ama güzel ürün
75688,Positive,Bu ruju ilk defa aldım. Ama çok duyuyordum. En indirimli burda buldum. Hemen bir kaç tane aldım.
75689,Neutral,İyi ama çok iyi değil
75690,Positive,beklediğimden büyük geldi güzel nemlendiriyor
75691,Negative,beğenmedim kokusu hiç yok maalesef aldığıma pişman oldum.eski seriler daha güzeldi.
75692,Neutral,güzel beğendim
75693,Negative,paranıza yazık almayın makinenin ve ağaların markası burdakinden farklı ve  kalitesiz
75694,Neutral,Ortalama kalitede bir törpü.
75695,Positive,gerçekten de saçımda uzama gerçekleşti inanamadım başta ama 2 ay içerisinde saçlarımın uzadığını farkettin teşekkürlerler 👍👍
75696,Positive,Ürünü kokusundan hemen hatırladım lise zamanlarımda cilt doktorum bana bir jel vermişti akne tedavisi gördüğüm zamanlarda bu jel kesinlikle o jel çok iyi gelmişti cildime ve şimdide öyle olcağına eminim ilk temizlemede çok güzel sonuç aldım pürüsüz ve yumuşak yaptı cildim gerçekten çok hassas bunu ben bile söylüyorsam gerçekten denenmeye değer :)
75697,Positive,Çok güzel kokuyor tam ilkbahar mevsimi kokusu
75698,Positive,ürün geldi paketleme çok iyiydi gayet kaliteli bir ürün kokusu da harika ayrıca hediye içinde tesekur ederim :)
75699,Positive,En sevdigim kokulardan
75700,Negative,170 boyundayım ayak bileğimde kaldı paçası:(
75701,Negative,Kasindiriyo pacasi çok uzun kumasini beğenmedim ne yazikki
75702,Negative,ici bez ve ic gosteriyi hiç beğenmedim malesef
75703,Neutral,başka bir markanın ürününe kıyasla bu bayağı etkisiz kalıyor
75704,Positive,Çok severek kullanıyorum teşekkür ediyorum
75705,Negative,rengi çok güzel ama kalıbı bir  değişik
75706,Neutral,Kokusunu seviyorum. Fiyatıda uygun ama mükmmel kesinlikle alınması gerekir diyemem
75707,Positive,Hızlı kargo güzel temizliyor büyük boyu daha avantajlı öneririm.
75708,Neutral,Farkı anlaşılmıyor. Olmasa da olur
75709,Neutral,Orta kalitede bir ürün.fena değil
75710,Neutral,Ojeyi bozuyor sürerken
75711,Positive,Ürün gerçekten beklenen etkiyi sunuyor. Rahatlıkla kullanabilirsiniz
75712,Neutral,sivilcelerim icin aldim sabah aksam kullanmama ragmen malesef çok etkili olmadi
75713,Neutral,3 haftadır kullanıyorum sivilceleriniz varsa sakın kullanmayın her yerinize sivilceleriniz dağılıyor çenemde iki sivilcem vardı şuan yanaklarıma kadar sivilce oldu yüzümde.
75714,Positive,Ürün istediğim gibi geldi paketleme güzel kokusu da çok hoş
75715,Neutral,"çok kalici değil, sol altta gorunen nude ton da pembeye kaçıyor hafiften. yaz icin ideal ancak biraz tozutuyor, arada da yenilemek gerekiyor. ama renkleri çok güzel"
75716,Positive,Kutu kutu bitirdiğim bir ürün. Tavsiye ederim
75717,Positive,Harika bir krem cildi yumuşacık yapıyor kokusu da harika
75718,Positive,küçük ama etkili gunese karsi iyi koruyo. Boyutu kucuj cep boyutu
75719,Neutral,"2. kez kullandim bu gun, evet saclari yumusacik yapip dolgunlastiriyor"
75720,Negative,Farklı renkte ürün geldi ve ağ kısımları çok geniş alt kısımda potluk yapıyor ve rahatsız ediyor
75721,Positive,Çok güzel bir nemlemdirici ve kullanışlı almanızı tavsiye ederim
75722,Neutral,ürünu siklikla kullanamiyorum ancak renk acilmalari zamanla olmaya basladi
75723,Negative,1 aydır önce aldım ürün gerçekten çok kötü göz kapağım düşük olmamasına rağmen hemen siliniyor bozuluyor
75724,Negative,dikişsiz değil birde toparlaması için sanırım bedeninizin küçüğünü almalısınız.kendi bedenimi aldım iade ettim.
75725,Neutral,Ürün benim saçımda mükemmel bir sonuç vermedi ama az da olsa etki gösterdi
75726,Positive,Çok başarılı ...buzdolabında bekletip öyle uyguluyorum çok memnunum
75727,Neutral,dudak dolgunlaştırmaması dışında güzel. Gloss gibi görünüyor
75728,Neutral,Verdiği temizlik hissi mükemmel ama tuzlarla saçı ovarken çok karışıyor ve yolundugunu hissediyorum saçlarımın.Zayıf saçlara göre değil güçlü saçı olanlar kaçırmasın
75729,Positive,fiyatı uygundu Ürünün kokusu biraz ağır ama güzel
75730,Positive,rengi muhteşem
75731,Neutral,Sadece nem sorununuz varsa denenebilir nem bakımından başarılı
75732,Neutral,Dokusu ve rengi çok güzsl
75733,Negative,Yani yorumlara bakarak aldım ama 5 gün oldu öyle soyulma olmadı ufak tefek kendim zorla soymamdan başka
75734,Positive,Güzel ürün zaten sürekli kullandığım marka
75735,Positive,yeni kullanmaya başladım kokusunu sevmedim umarım işe yarar
75736,Neutral,Cildim kuru olduğu için beğenmedim
75737,Negative,Bir işe yaramıyor.Makyaj altına baz olarak uyguluyorum.
75738,Positive,Etkisini görmeye başladım lekeler gerçekten küçülmeye başladı
75739,Neutral,kokusu hoş vaktinde teslimat. etkisini bilemiyorum kullanmaya yeni başlayacağım.
75740,Positive,Hem çok uygun fiyata hem de yüzde duruşu harika
75741,Neutral,Çok kullanışlı
75742,Neutral,Şuanlık güzel gidiyor beğendim
75743,Neutral,"Ürün orta düzeyde, günlük kullanım için fena değil."
75744,Positive,ürün güzel tavsiye ederim ☺️
75745,Negative,"Kalitesi kötü ve kalıbı inanılmaz dar ,S beden olmama rağmen çocuk bedeni gibi.iade ediyorum"
75746,Neutral,ilk defa deneyeceğim.
75747,Positive,İkinci kez aldım çok güzel tavsiye ederim
75748,Neutral,kokusu çok hos falan dökülmede degisim olmadi
75749,Negative,hiç bir işe yaramıyo cildi daha çok yağlandırıyo BERBAT boşa almayın
75750,Positive,çok çok memnunum.hep indirimde olsa.
75751,Positive,Fotosunu görünce çok beğendim hiç düşünmeden sepete ekledim ve severek kullanıyorum
75752,Positive,Güzel ve işe yariyor. Kokusu kötü değil ama yinede hafiften bir kimyasal kokusu geliyor kullandiktan sonra.
75753,Positive,taze yumuşacık parlak bir cilt  beğendim
75754,Positive,çok begendiğim  bir ürün.  minisi de çok güzel olmus yaninda
75755,Positive,"1-2 aydır kullanıyorum, diğer jellerden daha etkili ve içeriği daha temiz gibi geldi bana. Bitirmesi zor gözüküyor ama biterse yenileyeceğim bir ürün."
75756,Neutral,Çok hızlı sonuç beklemek yanlış olur 1 haftadir kullanıyorum pek birşey fark etmedi.En önemlisi gözü fena yakıyor
75757,Negative,"Cildi aşırı kurutuyor, düzenli kullanmama rağmen siyah nokta temizleme konusunda henüz bir etkisini görmedim. Tekrar alacağımı düşünmüyorum. Bu tarz sabun kullanmak isteyenlerin daha dermatolojik ürünlere yönelmelerini öneririm."
75758,Negative,Kumaş o kadar kalitesiz ki yaparken yırtılacak derecede. Değmez.
75759,Neutral,Olsada olur olmasada bir ürün
75760,Neutral,bir tık dandik ama iş görür
75761,Neutral,Çok minik geldi
75762,Neutral,hafif yağlılık hissi veriyor
75763,Negative,ürün çok güzel gercekten kullandıktan sonra farki hissediyorsunuz cildiniz pamuk gini oluyor. ama 2 hafta once almistim bozuldu suan calismiyor kesinlikle
75764,Neutral,Çok yoğun bir kokun var ve fazla yağlı yağlı gösteriyor yüzümü etkisi için çok erken birşey söylemek ama çok nemli gösterdiği kesin😅
75765,Neutral,Sapasağlam elime ulaştı ancak şunu söyleyeyim renkler dudakta çok belirgin durmuyor.Örneğin kırmızı ruj çok koyu bir pembe gibi duruyor ya da koyu pembe olan ruj açık pembe gibi duruyor.Bunu bilerek sipariş edebilirsiniz.
75766,Negative,Güzel kokuyor ama bir faydasını göremedim
75767,Negative,"çok ince, iade ettim"
75768,Negative,Öneri üzerine almıştım. 5 kere kullandım ancak bir faydasını göremedim. Üstelik saçlarımı çok sertleştirdi. Ayrıca taşıma sırasında şişenin bir kısmı delinmişti.
75769,Neutral,SÜPER
75770,Neutral,güzel ürün beğendim
75771,Positive,"Kokusu çok güzel, ağırlaştırmadan güzel bir yumuşaklık veriyor."
75772,Negative,Henüz bir yararını görmedim
75773,Negative,Çok keskin kokusu sanki yer silme deterjanı
75774,Negative,Ürünü iade ettim kaliteli bir ürün beklemeyin kumaşını beğenmedim
75775,Positive,İndirime girmiş hemen aldım saçlarım çok hızlı uzuyor bu ürün sayesinde
75776,Neutral,Ben hem arkadaşıma hem kendime aldım oda çok memnun kaldığını söyledi bende rahat bir şekilde kullanıyorum
75777,Neutral,Geç teslimat Ürün gayet güzel fakat bir hafta sonra elime ulaştı. Tahmini teslimat tarihinden çok sonra geldi. Ürün işe gayet güzel bir ürün
75778,Positive,gerçekten çok güzel. henüz birkaç gündür kullanıyorum etkisini görmeye başladım.
75779,Neutral,Anneme almıştım ama yüzünü yaktığını söyledi tüm cilt tiplerine uygun değil sanırım
75780,Neutral,Bu rengin dokusu mat olduğu için yapı olarak parlak renklerinden biraz farklı geldi. Biraz kurutuyor dudakları.
75781,Positive,Kokusu müthiş asla kokusu gitmiyor. Saçı sekillendirmede de gayet iyi 1 yıldır bittikçe alıyorum tavsiye ederim.
75782,Neutral,"maalesef sivilceye sebep oldu, normalde sevmistim ama cildim bozuldugu icin artik kullanamiyorum :("
75783,Neutral,Pembe renk geldi. Onu da beğendim. Güzel nemlendiriyor ama verdiği nem çabucak kayboluyor. Boyutu biraz küçüktü ama yeterli:)
75784,Positive,Orijinal taş olmasından emin değilim. Masaj yaparken çok ses çıkarıyor. Yine de yüzü rahatlatıyor kremlerin daha iyi emilmesini sağlıyor. Diğer faydalarını uzun vadede görürüz inşallah. Göz altı morlukları ve şişlikler için aldım etkisini görürsem tekrar yorum yapıcam
75785,Negative,Dışarda giyerim diye aldım ama evde giymelik pek rahat da değil beğenmedim
75786,Negative,yorumlara bakarak aldım fakat hüsran. kapatıcı özellikle zerre kadar yok. param boşuna gitti
75787,Neutral,Fiyatına göre fena değil. Daha profesyonel bir set alınana kadar kullanılıp kenarıda tutulabilir.
75788,Neutral,Kokusu övüldüğü kadar güzel değil ve coconut kokusu ağır basıyor bence. kurabiye gibi kokuyor benim gibi ferah çiçek kokuları sevenler için tavsiye etmem
75789,Neutral,loreal in kalemine oranla kalıcı değil bence
75790,Negative,etkili bir ürün değil. beğenmedim
75791,Neutral,Renk çeşiti çok güzel fakat beklediğimden küçük geldi.
75792,Positive,3 haftadır kullanıyorum şimdilik memnunun umarım iyi gelir
75793,Positive,Sürekli kullanıp memnun kaldığım kaliteli marka. Ürünlerini çok beğeniyorum. Bu fiyata efsanevi bereketli bir ürün 👌
75794,Positive,Yanındaki ufak hediyesi göründüğü gibi küçük değil tam çantaya atmalık seyahate götürmelik bir boy olmuş fiyatı da çok uygun
75795,Neutral,Elime çok çabuk ulaştı teşekkürler. Kuşanmadık henüz
75796,Negative,Çok toparlayıcı değil fiyatına göre idare eder.
75797,Negative,alacak olanlar gelen üründe sls var bilginiz olsun
75798,Positive,kremin çok hoş kokusu var bayıldım
75799,Neutral,Güzel ürün kaliteli
75800,Negative,Saçlarımı hem türüncu yaptı hemde sertleştirdi
75801,Neutral,Ürünün etkili olduğunu düşünmüyorum kendi adıma. Hatta fırça uçlu temizlik aletleri ya da elinizle yıkadığınız zaman daha ferah hissediyorsunuz. Masaj için alınmasını da mantıklı bulmuyorum.
75802,Negative,yorumları okuyarak aldım üç haftadır kullanıyorum hiç bir değişiklik yok
75803,Positive,Mükemmel bir ürün manikür yapılmış gibi tırnak etleri yumuşuyor.
75804,Negative,"yorumlarda meme ucu gösteriyor yazanları okumama ragmen denemek icin aldim, ürün kaliteli olabilir ama meme uclari çok belli oluyor, iade ettim."
75805,Negative,Çok rahatsızzz
75806,Positive,fiyati uygun
75807,Neutral,fena değil
75808,Negative,Saçı yağlandırıyor tarama kolaylığı da sağlamıyor iğrenç
75809,Negative,"çok kötü yakıyor dus aldım ama geçmedi açıdan ağlayacaktim çöpe attım hemen kutuyu, ben bunu eczaneden almıştım kullanmıştım burada sipariş verdiğimde hem görüntüsü ve yapısı hem de rengi çok farklıydı ve o yakmiyordu 4 cm de zayiflatmisti bu çok kötü"
75810,Neutral,çok güzel bir kokusu var
75811,Positive,Bekledigimden küçük boyu zamaninda elime ulasti umarim işe yarar
75812,Positive,hızlı ulaştı. paketleme güzeldi. Ürün zaten çok kaliteli
75813,Positive,ürün gayet güzel 2 gündür kullanıyorum herhangi bir sorun yaşamadım verdiğiniz paraya değiyo gerçekten  sipariş verdiğim günün ertesi günü elime ulaştı boyutu da küçük değil
75814,Neutral,bir kaç kez kullandım ve beğendim
75815,Negative,çok küçükler
75816,Neutral,"Tam olarak yapılışını beceremiyorum galiba , biraz zorlandım"
75817,Negative,hiç beğenmedim bayağı kalitesiz geldi ignesi yok gibi resimde gozuktugu kadar kaliyeli değil haberiniz olsun uygun die iade etmedim ama  kullanmiyorum
75818,Negative,Çok övdüler o yüZden aldım kokusu çok güzel umarım faydasını görürüm
75819,Negative,Hiç beğenmedim berbat bir ürün
75820,Neutral,Tutuşu bir süre sonra etkisini yitiriyor
75821,Negative,"Ürün tam bir fiyasko, elime aldığım anda dağılması bir oldu sürekli çıkıyor parçaları; taşı gevşek düşüyor. Ucuz olmasının nedeni buymuş demekki"
75822,Negative,küçük beden almama rağmen çok bol geldi kalıp çok geniş
75823,Negative,%100 polyester bir ürün ve aşırı ince. ilk gördüğümde plaj kıyafeti sandım. rengi güzel olsa da kullanamayacağım
75824,Positive,kokusu çok kalici hos güzel bir parfum
75825,Negative,"üzgünüm bana farklı ürün gönderdeniz , oyle birşey olduğunu beklemiyordum"
75826,Neutral,Rengi çok güzel
75827,Positive,Çok güzel kokuyor ve temizlediğini hissediyorum akneler için yorum yapmam için erken.
75828,Positive,"Kesinlikle en güzel nemlendirici,kuru cildiniz var veya sivilce tedavilerinde cildiniz kuruyorsa sürekli kullanabilceğiniz bir nemlendirici diyebilirim"
75829,Positive,gayet hızlı bir sekilde elimize ulasti. orijinal ürün ve yeni. hatta arkasında puani bile var :) herkese oneririz.
75830,Neutral,Göründüğü gibi değil rengi daha açık bir kırmızı yorumlara bakmıştım ama umduğum bu değildi.
75831,Negative,Benekleri çok solgun
75832,Neutral,çokta beğenmedim
75833,Positive,İndirimleri takip edin alın mükemmel bir ürün
75834,Neutral,Güzel şık bir tarak
75835,Positive,Harika bir ürün çok kısa sürede gözle görünür fark yaratıyor siyah noktalarda.
75836,Negative,"Kargolama , paketleme gayet iyiydi. Fakat kullandigim kalemlerden mi kaynaklı bilmiyorum, yazdıklarımı silmekte zorlandım ve maalesef beklentimi karşılamadı."
75837,Negative,kumaşı aşırı ince ve kalitesiz bildiğiniz naylon
75838,Neutral,kokusu güzel ama biraz sulu gibi.fiyatına göre idare eder.
75839,Negative,İlk yıkamada çekti bayağı üstüme yapışan bişey oldu. 2 beden büyük alın .
75840,Negative,Beş para etmez tavsiyeleri okuyup aldım ama koku insanın üstünde 5dakka durmuyor uçup gidiyor
75841,Negative,kumaşı aşırı ince. modeli güzeldi ama kumaşı daha tok olsaydı iyiydi. fiyatını asla haketmez. üzülerek iade.
75842,Negative,Kumaş kalitesi kötü iade edildi
75843,Negative,Çok açık ten
75844,Negative,yorumlara bakarak aldim.daha yeni kullanmaya başladım yine dökülme aynı şekilde devam ediyor.umarim yazıldığı gibi ışe yarar.yoksa yine hayal kırıklığı.
75845,Negative,İğrenç bir ürün saçımı çok kötü açtı
75846,Positive,Hem hızlı bir şekilde elime ulaştı paketlemesi çok iyiydi deneme şansım da oldu gerçekten başarılı bir ürün. İyi ki almışım yüzümü yumuşacık yapıyor.
75847,Positive,Çok hızlı ve güzel paketlenmiş bir şekilde elime ulaştı.
75848,Positive,herkese tavsiye ederim gercekden sonuç veriyor ce saçı kuru olanlar için çok çok iyi benim hep kuru banyoda  sonra bir miktar alıma klip sürü yorum yumusacik olur saçım bazende maske yapıyorum memnunm
75849,Neutral,İlk başta işe yarıyor gibi gelmişti ama 3 gün sonra saçım yine eski haline döndü bence işe yaradığı söylenemez
75850,Positive,kokusu çok güzel ciltte yok gibi
75851,Positive,Uzun yıllardır kullandığım ürün. Herkese tavsiye ediyorum zaten.
75852,Negative,Ürün fotoğraftakinin aynısı gelmedi
75853,Neutral,henüz deneyemedim ama deneyince guncellecegim
75854,Positive,Mor şampuan olarak en etkilisi 5 dakikada gri yapıyor çok iyi
75855,Neutral,Farı daha kullanmadım ama yanında fırça setiyle birlikte almıştım fırçalar gelmedi.
75856,Negative,Beklediğim performansı göremedim
75857,Neutral,Saç için almıştık ama sanırım saç için biraz küçük kalıyo bu yüz için daha uygun
75858,Positive,Beni çok yaktı krem ama bakalım faydası olacakmı göreceğiz
75859,Positive,ürünün fiyatıda paketlenmeside kendiside harika tavsiye ederim
75860,Negative,"Hiç bir belirginliği yok, boşuna almışım. Islak fırça ile bile uyguladım nafile. Tavsiye etmem"
75861,Positive,Başarılı doğal bir ürün tavsiye edilir.
75862,Negative,... Hassas ciltler icin istedik kuru cilt icin yollamıslar geç gönderimi de hesaba katarsak memnun kalmadım
75863,Neutral,işe yarıyor tavsiye ederim
75864,Neutral,Trendyol hızlı teslimat icin teşekkür ediyorum ...ürün henüz kullanmadım ama görüntü aynı paket herşeyi normal...
75865,Positive,"vazgecilmezim , diğer kremleri bıraktım nem terapisi kullanmaya başladıktan sonra."
75866,Negative,Tüm influencerlar tavsiye ediyor ama çok da işe yarar gözükmüyor
75867,Negative,ilk yıkamada söküldü dikişleri
75868,Positive,Fazla bekletmemek gerek saç da
75869,Positive,Zaten kullanıyordum oldukça memnunum
75870,Neutral,sacıma denedim acılmadı siyah oldugu icin ama sacımı yıpratmadı
75871,Negative,anlamadim cam terebentni diye aldim gul sabunu geldi iade edicem
75872,Positive,orijinal ürün iyi fiyat
75873,Negative,Arkadaşlar çingene pembesi beyaz çizgili bir forma almak istiyorsanız buyrun alın :) forma gibi naylon kesinlikle fiyasko hiç mankende göründüğü gibi değil.  Yinede alıcam derseniz bir beden küçük olmanızı tavsiye ederim.
75874,Negative,güzel değil
75875,Neutral,Akma ve bulaşma yapıyor
75876,Neutral,Çok methini duyarak aldım ama akma yapıyor.
75877,Positive,Doğal olmasi nedeniyle tercih ettim. Severek kullaniyorum.
75878,Negative,İndirimde iken aldım. Memnun kalmadım . Tavsiye etmiyorum
75879,Neutral,gozenek gorunumunu yari yariya azaltti hosuma gitti nemlendirmesi fondoteni iyi gosteriyor
75880,Positive,"Kesinlikle şiddetle tavsiye ediyorum, mükemmel ürün"
75881,Positive,"çok uzun süredir normal, karma-yağlı cildime kullanıyorum. Bu cilt tipinde olanlara gönül rahatlığıyla öneririm."
75882,Positive,harika bir ürün ❤
75883,Neutral,İşe yarayıp yaramadığına karar veremiyorum. Orta kalite bir ürün
75884,Negative,bebeğim için uzun zamandır kullandığım bir ürün ama bu ürünler gelince şok geçirdim. mendiller o kadar incelmiş ve ipliksi olmuş ki paketinden çıkartırken ip gibi uzuyor . incecik zar gibi neredeyse şeffaflaşmış. Ayrıca kuruya yakın. tam bir rezalet. bu satıcıdan asla birşey almayın.. trendyoldan da böyle bir ürün almış olmak tam bir hayal kırıklığı..
75885,Negative,Bel kısmı kayıyor ve kumaşı o kadar ince ki dışarda giyilemez 👎🏻
75886,Negative,Kuru boyaların hiç biri boyamıyor. Aşırı kalitesiz. Aldığıma pişman oldum. Alamamanız tavsiye edilir.
75887,Neutral,Kargo hızlıydı paketleme güzeldi. Kokusu kalıcı ancak ilk sıkıldığında ağır bir kokusu var zamanla uçuyor.
75888,Positive,Efso bir temizleme jeli. Kuru ve hassas ciltler kesinlikle almalı. Asla sivilce veya komedon yapmıyor
75889,Neutral,bende etkili olmadi tırnağını sertleştirmedi yine kırılıyor belki vitamin eksikliğim vardır
75890,Positive,Yağlı bir cildim var fakat bölgesel olarak yoğun kuruluklar yaşıyorum. Şimdilik iyi geldi gibi görünüyor.
75891,Positive,Ürünü çok beğendim. İçinde Türkçe kullanım kılavuzu ile gönderilmiş. Tonikli bir pamuğu bürün bölgesinde veya sorunlu bölgede 10 dakika bekleterek yumuşatmak veya duştan sonra kullanmak gerekiyormuş. Ardından da gözenek sıkılaştırıcı bir tonik kullanmakta fayda var. Yorumlarda morarmalar yaptığını okumuştum. Cildim hassastır. Masaj yapar gibi sürekli hareket halinde bir bölgede bekletmeden kullanıldığında benim cildimde hiç morarma yapmadı.   meraktan denemek için beklettiğim küçük bir alanda küçük bir morarma oldu ve soğuk yeşim yaşı ile masaj yaptım. 1 gün sonra geçti.
75892,Neutral,beklentinizi çok yüksek tumayın ama sacı dolgun gösteriyor
75893,Negative,1 aydır kullanıyorum yorum yazmak için bekledim. Hiç işe yaramıyor nemlendirme sıfır kuruluğu almıyo su gibi.
75894,Neutral,fırçası keçedir diye aldım ama kıllı çıktı ama olsun güzel bir ürün alınabilir
75895,Negative,Ürün orjinal değil aynı rengin orjinali var bende gelen ürünün orjinal ürünle renkleri alakasız
75896,Neutral,beklediğimden küçük geldi fırça ucu olarak söylüyorum ucuza aldığım icin geri yollamakla uğraşmadım kullanmadım hiç
75897,Positive,Büyük ve küçük tarafında problem yok ikiside dönüo ve gayet kaliteli henüz denemedim inşallah işe yarar
75898,Negative,"İlk yıkamada çekti, kalıbı dar ve yakasının bir tarafı  kalkık duruyo"
75899,Neutral,yapıs yapıs hissiyat vermiyor demisler fakat bence gayeeet yapıs yapıs bir ürün. rengi çok güzel fakat icindeki simler gloss gittikten sonra bile dudagınız ve cevresinde yapısıp kalıyor pis bir goruntu olusturuyor bence
75900,Negative,"Askısı kopuk geldi, beklediğimden daha ince bir kumaşı var. Beğenmedim"
75901,Neutral,"Çok yoğun kullanmak gerekiyor kalıcılık için,çok başarılı bulmadım maalesef"
75902,Positive,keratin bakımı yaptırmaya karar vermiştim ama öncesinde bu ürünü denemek istedim sanki iyi geliyo saçıma zamanla daha iyi anlaşılır
75903,Neutral,palet güzel fakat pigment acısından zayıf kalıyor çoğu renk varla yok arası gibi oldu özellikle nuud tonlar kokusu güzel paketleme özenli
75904,Negative,Ekranda çok daha büyük gozukuyordu
75905,Negative,hemen tuylendi
75906,Negative,evet fiyatı uygun ama.. fiyatına göre almayın.yapış  yapış şeker kokusunu sevmiyorsanız kesinlikle tavsiye etmiyorum
75907,Negative,"Ürün güzel, kullanışlı ve fotoğraftakinin aynısı geliyor."
75908,Positive,Ürün elime ulaşalı 3 gün oldu ve etkisini hemen gösterdi başarılııı👍🏻
75909,Neutral,çok işlevsel bulamadım yada ben kullanamadım
75910,Negative,Yakası geniş altı daha dar kötü duruyor dışarıda değilde evde giyilir anca beğenmedim ama rengi güzel sadece
75911,Negative,"Almayın çok kötü, askıları çok uzun omuzdan düşüyor, tam sütyen hizasında rahat hareket etmeyi önlüyor.iade ettim"
75912,Positive,Kokusu beni çok rahatsız etmedi doğal olduğu için normal bence parfümsüz çünkü anneme aldım gayet memnunuz
75913,Neutral,fena değil.
75914,Neutral,kargolama çok iyiydi bu üç yıldızı onun için veriyorum ama şampuan icin yorumlarda olumlu yazıyordu ama pek  bir etkisi yok diğer market şampuanlarıyla aynı  belkide benim saçımın yapısı ile alakalıdır bilemiyorum kısacası alınmasa da olurmuş.
75915,Neutral,"İlk defa kullanıyorum, kokusu çok hoş"
75916,Positive,Düzenli kullanmasam da çok güzel bir ürün
75917,Positive,fiyatıda üründe harika
75918,Positive,Normalden daha uyguna aldım kesinlikle trendyol
75919,Neutral,"Ürün çok küçük, masajını hissetmiyorsun."
75920,Positive,ilk kullanımda farkını ortaya koyan bir ürün
